Date,TSLA,"Tesla, Inc.","Tesla,"
2017-07-26,6.29,33.32,7.539999999999999
2017-07-27,5.95,34.3,7.539999999999999
2017-07-28,6.29,34.3,15.659999999999998
2017-07-29,5.2700000000000005,98.0,57.99999999999999
2017-07-30,2.5500000000000003,60.76,36.54
2017-07-31,8.67,0.0,26.68
2017-08-01,5.07,19.95,45.75
2017-08-02,13.0,56.99999999999999,14.64
2017-08-03,11.96,20.52,0.0
2017-08-04,6.5,41.61,32.33
2017-08-05,2.34,24.509999999999998,0.0
2017-08-06,1.17,24.509999999999998,37.82
2017-08-07,4.8100000000000005,48.449999999999996,15.25
2017-08-08,4.68,19.38,45.14
2017-08-09,4.8100000000000005,19.38,30.5
2017-08-10,4.42,31.349999999999998,32.33
2017-08-11,5.07,20.52,32.33
2017-08-12,1.3,0.0,0.0
2017-08-13,1.04,0.0,18.3
2017-08-14,4.16,0.0,0.0
2017-08-15,3.12,20.52,0.0
2017-08-16,3.9000000000000004,41.04,0.0
2017-08-17,2.73,39.9,0.0
2017-08-18,2.34,20.52,0.0
2017-08-19,0.52,47.879999999999995,18.3
2017-08-20,0.39,23.369999999999997,18.3
2017-08-21,2.6,18.81,14.64
2017-08-22,3.12,20.52,15.25
2017-08-23,3.12,0.0,0.0
2017-08-24,2.6,19.95,15.25
2017-08-25,2.73,0.0,15.86
2017-08-26,0.91,0.0,0.0
2017-08-27,0.65,22.229999999999997,0.0
2017-08-28,3.12,29.639999999999997,30.5
2017-08-29,2.6,38.76,15.25
2017-08-30,3.12,0.0,15.25
2017-08-31,1.69,29.069999999999997,61.0
2017-09-01,5.31,0.0,15.08
2017-09-02,1.6199999999999999,0.0,17.68
2017-09-03,0.54,52.800000000000004,35.36
2017-09-04,1.26,75.2,33.800000000000004
2017-09-05,4.77,0.0,0.0
2017-09-06,4.59,21.6,14.56
2017-09-07,4.5,21.6,14.56
2017-09-08,4.2299999999999995,0.0,14.56
2017-09-09,0.72,38.400000000000006,34.84
2017-09-10,1.08,51.2,52.0
2017-09-11,7.38,44.800000000000004,14.56
2017-09-12,7.56,32.800000000000004,0.0
2017-09-13,5.9399999999999995,0.0,14.56
2017-09-14,9.0,22.400000000000002,15.08
2017-09-15,7.47,0.0,0.0
2017-09-16,1.53,52.800000000000004,35.36
2017-09-17,1.53,0.0,17.68
2017-09-18,7.47,21.6,29.12
2017-09-19,7.29,43.2,29.12
2017-09-20,7.739999999999999,0.0,22.36
2017-09-21,7.38,22.400000000000002,22.36
2017-09-22,7.29,45.6,30.68
2017-09-23,1.53,80.0,44.72
2017-09-24,0.8999999999999999,39.2,17.68
2017-09-25,6.66,21.6,0.0
2017-09-26,6.93,0.0,14.56
2017-09-27,6.75,0.0,0.0
2017-09-28,5.9399999999999995,0.0,29.64
2017-09-29,5.58,0.0,15.600000000000001
2017-09-30,1.6199999999999999,27.200000000000003,0.0
2017-10-01,1.21,0.0,13.65
2017-10-02,8.36,16.0,10.4
2017-10-03,11.0,0.0,11.05
2017-10-04,8.58,17.0,16.900000000000002
2017-10-05,6.16,0.0,11.05
2017-10-06,6.38,17.0,11.700000000000001
2017-10-07,3.08,40.0,13.65
2017-10-08,1.65,20.0,65.0
2017-10-09,6.16,0.0,22.1
2017-10-10,7.81,0.0,0.0
2017-10-11,6.38,50.0,11.05
2017-10-12,6.71,0.0,22.1
2017-10-13,6.2700000000000005,69.0,11.700000000000001
2017-10-14,2.86,41.0,40.95
2017-10-15,0.99,20.0,13.65
2017-10-16,6.49,34.0,22.1
2017-10-17,5.72,0.0,11.05
2017-10-18,5.72,17.0,11.05
2017-10-19,6.16,34.0,22.75
2017-10-20,5.83,35.0,11.700000000000001
2017-10-21,2.09,21.0,0.0
2017-10-22,0.88,100.0,33.15
2017-10-23,7.04,17.0,27.95
2017-10-24,6.05,0.0,0.0
2017-10-25,7.81,17.0,16.900000000000002
2017-10-26,7.59,17.0,0.0
2017-10-27,8.36,0.0,23.400000000000002
2017-10-28,1.43,0.0,20.150000000000002
2017-10-29,1.54,20.0,26.650000000000002
2017-10-30,6.49,17.0,22.1
2017-10-31,8.91,69.0,57.2
2017-11-01,11.1,36.0,0.0
2017-11-02,15.0,34.199999999999996,0.0
2017-11-03,10.35,0.0,15.049999999999999
2017-11-04,2.85,0.0,26.23
2017-11-05,1.95,0.0,0.0
2017-11-06,4.8,34.199999999999996,14.19
2017-11-07,4.8,34.56,43.0
2017-11-08,4.8,0.0,14.62
2017-11-09,5.55,0.0,14.62
2017-11-10,4.2,0.0,15.48
2017-11-11,1.5,0.0,0.0
2017-11-12,0.44999999999999996,0.0,17.2
2017-11-13,5.25,0.0,14.62
2017-11-14,5.1,0.0,0.0
2017-11-15,4.95,0.0,14.19
2017-11-16,5.85,0.0,14.62
2017-11-17,14.7,35.64,15.049999999999999
2017-11-18,3.0,0.0,17.63
2017-11-19,1.05,0.0,0.0
2017-11-20,5.25,35.64,15.049999999999999
2017-11-21,5.3999999999999995,0.0,0.0
2017-11-22,4.35,0.0,16.34
2017-11-23,1.3499999999999999,0.0,0.0
2017-11-24,2.85,0.0,0.0
2017-11-25,1.05,0.0,0.0
2017-11-26,0.44999999999999996,0.0,0.0
2017-11-27,2.85,0.0,0.0
2017-11-28,3.4499999999999997,0.0,13.76
2017-11-29,4.5,0.0,14.62
2017-11-30,3.75,0.0,14.19
2017-12-01,6.0,,7.280000000000001
2017-12-02,1.5,,0.0
2017-12-03,1.4000000000000001,,0.0
2017-12-04,6.6000000000000005,,0.0
2017-12-05,7.0,,14.000000000000002
2017-12-06,7.300000000000001,,7.000000000000001
2017-12-07,7.5,,0.0
2017-12-08,6.6000000000000005,,7.420000000000001
2017-12-09,2.1,,0.0
2017-12-10,1.5,,0.0
2017-12-11,6.9,,0.0
2017-12-12,10.0,,0.0
2017-12-13,9.0,,0.0
2017-12-14,8.8,,0.0
2017-12-15,7.300000000000001,,7.5600000000000005
2017-12-16,2.1,,0.0
2017-12-17,1.0,,0.0
2017-12-18,6.1000000000000005,,0.0
2017-12-19,6.5,,7.5600000000000005
2017-12-20,6.9,,0.0
2017-12-21,6.5,,8.120000000000001
2017-12-22,5.800000000000001,,8.4
2017-12-23,2.0,,0.0
2017-12-24,1.4000000000000001,,0.0
2017-12-25,2.0,,9.940000000000001
2017-12-26,5.6000000000000005,,0.0
2017-12-27,9.200000000000001,,0.0
2017-12-28,6.2,,0.0
2017-12-29,4.800000000000001,,0.0
2017-12-30,1.4000000000000001,,0.0
2017-12-31,1.0,,8.680000000000001
2018-01-01,1.2000000000000002,0.0,0.0
2018-01-02,5.7,0.0,0.0
2018-01-03,8.5,0.0,0.0
2018-01-04,10.0,0.0,0.0
2018-01-05,5.2,0.0,0.0
2018-01-06,1.3,0.0,0.0
2018-01-07,1.2000000000000002,0.0,6.84
2018-01-08,7.2,0.0,5.76
2018-01-09,6.800000000000001,0.0,5.9399999999999995
2018-01-10,4.800000000000001,0.0,0.0
2018-01-11,5.300000000000001,0.0,0.0
2018-01-12,4.4,0.0,0.0
2018-01-13,0.9,0.0,0.0
