Date,PFE,"Pfizer, Inc.","Pfizer,"
2019-07-08,1.8599999999999999,0.0,22.0
2019-07-09,1.26,0.0,11.22
2019-07-10,2.34,0.0,0.0
2019-07-11,3.3,0.0,0.0
2019-07-12,3.54,0.0,0.0
2019-07-13,0.54,0.0,0.0
2019-07-14,0.54,0.0,0.0
2019-07-15,2.16,0.0,0.0
2019-07-16,1.56,0.0,0.0
2019-07-17,2.52,0.0,0.0
2019-07-18,1.56,0.0,0.0
2019-07-19,1.5,0.0,0.0
2019-07-20,0.8999999999999999,0.0,12.98
2019-07-21,0.72,0.0,0.0
2019-07-22,1.56,0.0,0.0
2019-07-23,1.8599999999999999,0.0,0.0
2019-07-24,2.6399999999999997,0.0,0.0
2019-07-25,2.28,0.0,0.0
2019-07-26,2.6999999999999997,0.0,11.88
2019-07-27,1.3199999999999998,0.0,0.0
2019-07-28,0.54,0.0,0.0
2019-07-29,4.68,0.0,0.0
2019-07-30,6.0,0.0,0.0
2019-07-31,5.46,0.0,0.0
2019-08-01,6.32,,0.0
2019-08-02,7.68,,0.0
2019-08-03,0.0,,0.0
2019-08-04,1.2,,0.0
2019-08-05,4.8,,0.0
2019-08-06,5.84,,0.0
2019-08-07,3.7600000000000002,,0.0
2019-08-08,5.92,,0.0
2019-08-09,4.8,,0.0
2019-08-10,1.84,,0.0
2019-08-11,0.64,,0.0
2019-08-12,5.68,,54.0
2019-08-13,6.72,,0.0
2019-08-14,8.0,,0.0
2019-08-15,6.24,,0.0
2019-08-16,4.16,,0.0
2019-08-17,1.76,,0.0
2019-08-18,1.84,,0.0
2019-08-19,5.5200000000000005,,0.0
2019-08-20,2.56,,0.0
2019-08-21,5.04,,0.0
2019-08-22,4.64,,0.0
2019-08-23,3.12,,0.0
2019-08-24,0.0,,0.0
2019-08-25,2.4,,0.0
2019-08-26,5.5200000000000005,,0.0
2019-08-27,3.44,,0.0
2019-08-28,5.5200000000000005,,0.0
2019-08-29,6.0,,0.0
2019-08-30,3.92,,0.0
2019-08-31,2.8000000000000003,,0.0
2019-09-01,0.84,,0.0
2019-09-02,1.2,,0.0
2019-09-03,4.26,,0.0
2019-09-04,3.48,,0.0
2019-09-05,3.1799999999999997,,0.0
2019-09-06,2.16,,0.0
2019-09-07,0.42,,0.0
2019-09-08,1.2,,0.0
2019-09-09,4.26,,0.0
2019-09-10,3.54,,0.0
2019-09-11,5.34,,0.0
2019-09-12,3.84,,0.0
2019-09-13,4.9799999999999995,,0.0
2019-09-14,1.74,,0.0
2019-09-15,0.42,,0.0
2019-09-16,2.76,,14.7
2019-09-17,4.859999999999999,,14.85
2019-09-18,3.54,,0.0
2019-09-19,3.5999999999999996,,0.0
2019-09-20,2.1,,0.0
2019-09-21,0.0,,0.0
2019-09-22,0.42,,0.0
2019-09-23,2.6999999999999997,,0.0
2019-09-24,6.0,,15.0
2019-09-25,6.0,,0.0
2019-09-26,4.32,,0.0
2019-09-27,4.68,,0.0
2019-09-28,0.8999999999999999,,0.0
2019-09-29,0.84,,0.0
2019-09-30,3.96,,0.0
2019-10-01,5.040000000000001,,0.0
2019-10-02,3.7100000000000004,,0.0
2019-10-03,1.54,,12.75
2019-10-04,5.250000000000001,,0.0
2019-10-05,1.33,,0.0
2019-10-06,1.33,,0.0
